id_cliente;nome_cliente;estado;cidade;segmento;plano;status;idade;genero;renda_estimada;vendedor
10001;ClienteNovo_1;PR;Londrina;Residencial;Fibra 1GB;Ativo;64;Masculino;16457;Vendedor_9
10002;ClienteNovo_2;DF;Brasília;Empresarial;TV + Fibra;Ativo;60;Masculino;3324;Vendedor_44
10003;ClienteNovo_3;PR;Londrina;Residencial;Móvel Controle;Ativo;57;Feminino;8252;Vendedor_49
10004;ClienteNovo_4;SP;São Paulo;Empresarial;TV + Fibra;Ativo;56;Masculino;3891;Vendedor_26
10005;ClienteNovo_5;PR;Maringá;Residencial;TV + Fibra;Ativo;64;Masculino;6556;Vendedor_27
10006;ClienteNovo_6;DF;Brasília;Residencial;Fibra 1GB;Ativo;20;Feminino;11172;Vendedor_18
10007;ClienteNovo_7;BA;Feira de Santana;Empresarial;Fibra 600MB;Ativo;28;Feminino;11107;Vendedor_24
10008;ClienteNovo_8;PR;Curitiba;Residencial;Fibra 1GB;Ativo;27;Feminino;12187;Vendedor_35
10009;ClienteNovo_9;GO;Aparecida de Goiânia;Governo;Fibra 600MB;Ativo;65;Masculino;10221;Vendedor_24
10010;ClienteNovo_10;PE;Olinda;Residencial;Fibra 600MB;Ativo;19;Masculino;18083;Vendedor_20
10011;ClienteNovo_11;SP;Campinas;Residencial;Móvel Controle;Ativo;26;Masculino;8212;Vendedor_43
10012;ClienteNovo_12;RS;Pelotas;Empresarial;Móvel Pós;Ativo;30;Masculino;5861;Vendedor_44
10013;ClienteNovo_13;RJ;Niterói;Residencial;Fibra 600MB;Ativo;62;Feminino;18430;Vendedor_16
10014;ClienteNovo_14;PE;Recife;Residencial;Móvel Pós;Ativo;71;Masculino;10080;Vendedor_19
10015;ClienteNovo_15;SP;São Paulo;Residencial;Fibra 600MB;Ativo;37;Masculino;1779;Vendedor_9
10016;ClienteNovo_16;PE;Olinda;Residencial;TV + Fibra;Ativo;42;Feminino;11424;Vendedor_17
10017;ClienteNovo_17;CE;Juazeiro do Norte;Empresarial;Fibra 600MB;Ativo;39;Masculino;5327;Vendedor_10
10018;ClienteNovo_18;DF;Brasília;Residencial;Móvel Controle;Ativo;63;Masculino;15952;Vendedor_3
10019;ClienteNovo_19;GO;Anápolis;Residencial;Fibra 300MB;Ativo;38;Masculino;12966;Vendedor_48
10020;ClienteNovo_20;MG;Belo Horizonte;Residencial;Fibra 600MB;Ativo;21;Feminino;6274;Vendedor_40
10021;ClienteNovo_21;MG;Belo Horizonte;Residencial;Fibra 300MB;Ativo;73;Feminino;8478;Vendedor_18
10022;ClienteNovo_22;SP;Campinas;Residencial;TV + Fibra;Ativo;62;Masculino;16451;Vendedor_11
10023;ClienteNovo_23;CE;Fortaleza;Residencial;Fibra 1GB;Ativo;52;Feminino;19584;Vendedor_42
10024;ClienteNovo_24;BA;Vitória da Conquista;Residencial;Móvel Pós;Ativo;24;Outro;17576;Vendedor_27
10025;ClienteNovo_25;RJ;Rio de Janeiro;Residencial;TV + Fibra;Ativo;18;Masculino;10805;Vendedor_4
10026;ClienteNovo_26;BA;Feira de Santana;Residencial;Fibra 1GB;Ativo;49;Feminino;8997;Vendedor_45
10027;ClienteNovo_27;DF;Brasília;Residencial;Fibra 600MB;Ativo;23;Masculino;13426;Vendedor_50
10028;ClienteNovo_28;MG;Belo Horizonte;Residencial;Móvel Controle;Ativo;26;Feminino;17766;Vendedor_35
10029;ClienteNovo_29;PR;Maringá;Residencial;Fibra 1GB;Ativo;71;Masculino;3871;Vendedor_2
10030;ClienteNovo_30;PE;Olinda;Governo;Fibra 300MB;Ativo;63;Feminino;18941;Vendedor_10
10031;ClienteNovo_31;PE;Recife;Residencial;TV + Fibra;Ativo;31;Feminino;3369;Vendedor_45
10032;ClienteNovo_32;RS;Pelotas;Empresarial;Fibra 1GB;Ativo;52;Feminino;14900;Vendedor_20
10033;ClienteNovo_33;PE;Recife;Residencial;Fibra 600MB;Ativo;37;Feminino;15284;Vendedor_31
10034;ClienteNovo_34;RS;Pelotas;Residencial;Fibra 300MB;Ativo;59;Masculino;19245;Vendedor_44
10035;ClienteNovo_35;RJ;Volta Redonda;Residencial;TV + Fibra;Ativo;63;Masculino;14637;Vendedor_37
10036;ClienteNovo_36;SP;São Paulo;Residencial;Móvel Controle;Ativo;27;Masculino;14258;Vendedor_49
10037;ClienteNovo_37;GO;Anápolis;Residencial;TV + Fibra;Ativo;28;Masculino;13725;Vendedor_17
10038;ClienteNovo_38;RS;Pelotas;Governo;Móvel Pós;Ativo;31;Masculino;18736;Vendedor_27
10039;ClienteNovo_39;PE;Olinda;Residencial;TV + Fibra;Ativo;60;Masculino;6233;Vendedor_5
10040;ClienteNovo_40;RS;Pelotas;Residencial;Fibra 300MB;Ativo;47;Outro;7928;Vendedor_18
10041;ClienteNovo_41;SP;Santos;Residencial;TV + Fibra;Ativo;42;Feminino;10906;Vendedor_20
10042;ClienteNovo_42;RS;Pelotas;Empresarial;Fibra 1GB;Ativo;57;Masculino;17803;Vendedor_5
10043;ClienteNovo_43;SP;Campinas;Empresarial;Móvel Controle;Ativo;29;Masculino;18431;Vendedor_38
10044;ClienteNovo_44;MG;Belo Horizonte;Empresarial;Fibra 300MB;Ativo;37;Feminino;19468;Vendedor_41
10045;ClienteNovo_45;MG;Juiz de Fora;Residencial;Móvel Controle;Ativo;72;Masculino;13633;Vendedor_19
10046;ClienteNovo_46;MG;Belo Horizonte;Empresarial;Fibra 1GB;Ativo;47;Masculino;18134;Vendedor_47
10047;ClienteNovo_47;PE;Petrolina;Residencial;Fibra 1GB;Ativo;62;Feminino;1800;Vendedor_9
10048;ClienteNovo_48;RJ;Volta Redonda;Governo;Móvel Controle;Ativo;47;Masculino;3405;Vendedor_18
10049;ClienteNovo_49;SP;Santos;Residencial;Fibra 1GB;Ativo;43;Feminino;5033;Vendedor_37
10050;ClienteNovo_50;CE;Sobral;Residencial;Fibra 300MB;Ativo;29;Masculino;9713;Vendedor_48
10051;ClienteNovo_51;GO;Goiânia;Residencial;Móvel Controle;Ativo;34;Masculino;8473;Vendedor_3
10052;ClienteNovo_52;GO;Goiânia;Residencial;Móvel Pós;Ativo;62;Feminino;4111;Vendedor_28
10053;ClienteNovo_53;BA;Feira de Santana;Empresarial;Fibra 600MB;Ativo;59;Feminino;5170;Vendedor_49
10054;ClienteNovo_54;SP;Santos;Empresarial;TV + Fibra;Ativo;55;Feminino;10229;Vendedor_3
10055;ClienteNovo_55;DF;Brasília;Empresarial;Fibra 600MB;Ativo;25;Feminino;14817;Vendedor_13
10056;ClienteNovo_56;RS;Porto Alegre;Residencial;Móvel Controle;Ativo;31;Masculino;7495;Vendedor_12
10057;ClienteNovo_57;CE;Fortaleza;Residencial;TV + Fibra;Ativo;62;Feminino;10367;Vendedor_46
10058;ClienteNovo_58;BA;Salvador;Residencial;Fibra 1GB;Ativo;38;Masculino;3081;Vendedor_5
10059;ClienteNovo_59;RS;Porto Alegre;Residencial;Fibra 300MB;Ativo;66;Masculino;8304;Vendedor_16
10060;ClienteNovo_60;RS;Caxias do Sul;Residencial;Móvel Pós;Ativo;24;Feminino;2706;Vendedor_43
10061;ClienteNovo_61;PR;Maringá;Empresarial;Fibra 300MB;Ativo;35;Feminino;14598;Vendedor_19
10062;ClienteNovo_62;DF;Brasília;Residencial;Fibra 1GB;Ativo;60;Feminino;7550;Vendedor_9
10063;ClienteNovo_63;GO;Aparecida de Goiânia;Residencial;Móvel Pós;Ativo;34;Masculino;12532;Vendedor_27
10064;ClienteNovo_64;SP;Santos;Residencial;Fibra 600MB;Ativo;29;Feminino;7084;Vendedor_10
10065;ClienteNovo_65;MG;Belo Horizonte;Empresarial;Fibra 300MB;Ativo;53;Feminino;11978;Vendedor_25
10066;ClienteNovo_66;CE;Sobral;Governo;TV + Fibra;Ativo;41;Feminino;19330;Vendedor_45
10067;ClienteNovo_67;PE;Olinda;Residencial;Fibra 300MB;Ativo;38;Feminino;12994;Vendedor_12
10068;ClienteNovo_68;GO;Anápolis;Residencial;Fibra 600MB;Ativo;62;Feminino;12581;Vendedor_9
10069;ClienteNovo_69;DF;Brasília;Empresarial;Fibra 300MB;Ativo;44;Masculino;2192;Vendedor_27
10070;ClienteNovo_70;GO;Goiânia;Residencial;TV + Fibra;Ativo;34;Masculino;17344;Vendedor_38
10071;ClienteNovo_71;RJ;Rio de Janeiro;Empresarial;Fibra 600MB;Ativo;18;Feminino;11447;Vendedor_26
10072;ClienteNovo_72;BA;Vitória da Conquista;Empresarial;Móvel Controle;Ativo;28;Masculino;11391;Vendedor_33
