id_cliente;nome_cliente;estado;cidade;regiao;segmento;data_entrada;plano;valor;status;idade;genero;renda_estimada;vendedor;data_cancelamento
1;Cliente_1;RS;Pelotas;Nordeste;Residencial;22/12/2024;TV + Fibra;199.9;Ativo;19;Outro;8189;Vendedor_37;
2;Cliente_2;BA;Feira de Santana;Nordeste;Residencial;23/09/2024;TV + Fibra;199.9;Ativo;44;Feminino;18160;Vendedor_34;
3;Cliente_3;PR;Maringá;Norte;Residencial;10/12/2023;TV + Fibra;199.9;Ativo;67;Feminino;14505;Vendedor_14;
4;Cliente_4;PE;Recife;Nordeste;Empresarial;11/10/2024;Fibra 300MB;89.9;Cancelado;59;Feminino;1939;Vendedor_47;
5;Cliente_5;RS;Caxias do Sul;Sudeste;Residencial;03/04/2024;Móvel Controle;49.9;Cancelado;20;Masculino;2912;Vendedor_6;
6;Cliente_6;GO;Aparecida de Goiânia;Nordeste;Empresarial;10/08/2022;Fibra 1GB;159.9;Ativo;70;Masculino;13104;Vendedor_27;
7;Cliente_7;MG;Juiz de Fora;Sul;Residencial;03/07/2024;Fibra 300MB;89.9;Cancelado;47;Masculino;8579;Vendedor_2;
8;Cliente_8;RS;Caxias do Sul;Sul;Residencial;12/03/2023;Móvel Pós;89.9;Ativo;27;Masculino;6703;Vendedor_9;
9;Cliente_9;PR;Maringá;Sul;Governo;02/10/2023;Fibra 300MB;89.9;Ativo;26;Feminino;6583;Vendedor_11;
10;Cliente_10;PE;Petrolina;Nordeste;Governo;02/08/2024;Móvel Pós;89.9;Ativo;20;Masculino;10619;Vendedor_5;
11;Cliente_11;BA;Salvador;Nordeste;Residencial;30/11/2022;Fibra 300MB;89.9;Ativo;39;Masculino;18184;Vendedor_11;
12;Cliente_12;PR;Curitiba;Norte;Empresarial;25/06/2024;Fibra 600MB;119.9;Ativo;55;Masculino;19246;Vendedor_3;
13;Cliente_13;PR;Curitiba;Centro-Oeste;Residencial;17/12/2022;TV + Fibra;199.9;Ativo;28;Masculino;4018;Vendedor_26;
14;Cliente_14;MG;Belo Horizonte;Norte;Residencial;24/07/2023;Móvel Pós;89.9;Ativo;23;Masculino;18940;Vendedor_14;
15;Cliente_15;CE;Fortaleza;Sudeste;Residencial;29/12/2023;Móvel Pós;89.9;Cancelado;22;Masculino;12030;Vendedor_9;04/03/2024
16;Cliente_16;PE;Recife;Sul;Governo;25/04/2022;Móvel Controle;49.9;Ativo;47;Masculino;8282;Vendedor_19;
17;Cliente_17;RJ;Niterói;Nordeste;Governo;27/06/2024;Fibra 300MB;89.9;Ativo;31;Masculino;6080;Vendedor_17;
18;Cliente_18;PR;Curitiba;Centro-Oeste;Residencial;02/01/2023;Móvel Pós;89.9;Ativo;19;Masculino;14661;Vendedor_49;
19;Cliente_19;CE;Sobral;Centro-Oeste;Empresarial;14/03/2024;Móvel Pós;89.9;Ativo;50;Feminino;18559;Vendedor_46;
20;Cliente_20;RJ;Niterói;Nordeste;Empresarial;14/06/2024;Fibra 300MB;89.9;Ativo;54;Masculino;10055;Vendedor_24;
21;Cliente_21;PE;Petrolina;Norte;Residencial;26/08/2024;Fibra 300MB;89.9;Ativo;25;Masculino;16537;Vendedor_14;
22;Cliente_22;SP;São Paulo;Centro-Oeste;Residencial;13/01/2023;Fibra 1GB;159.9;Ativo;27;Masculino;9397;Vendedor_10;
23;Cliente_23;GO;Goiânia;Norte;Residencial;08/10/2024;Móvel Controle;49.9;Ativo;38;Feminino;6463;Vendedor_7;
24;Cliente_24;CE;Sobral;Nordeste;Residencial;28/04/2022;Móvel Pós;89.9;Ativo;36;Masculino;3910;Vendedor_13;
25;Cliente_25;DF;Brasília;Norte;Empresarial;10/10/2024;Fibra 300MB;89.9;Ativo;52;Feminino;7669;Vendedor_35;
26;Cliente_26;SP;Santos;Sul;Residencial;11/06/2023;Móvel Pós;89.9;Ativo;35;Masculino;16562;Vendedor_31;
27;Cliente_27;GO;Aparecida de Goiânia;Nordeste;Residencial;24/03/2024;Fibra 1GB;159.9;Ativo;24;Masculino;11711;Vendedor_38;
28;Cliente_28;MG;Uberlândia;Nordeste;Residencial;25/07/2022;Fibra 1GB;159.9;Ativo;30;Masculino;12667;Vendedor_42;
29;Cliente_29;RS;Porto Alegre;Centro-Oeste;Empresarial;26/03/2024;Móvel Pós;89.9;Ativo;63;Masculino;8490;Vendedor_37;
30;Cliente_30;BA;Vitória da Conquista;Centro-Oeste;Residencial;07/03/2022;Móvel Controle;49.9;Ativo;67;Feminino;16310;Vendedor_29;
31;Cliente_31;DF;Brasília;Centro-Oeste;Residencial;04/01/2022;Fibra 600MB;119.9;Ativo;71;Masculino;14127;Vendedor_6;
32;Cliente_32;MG;Belo Horizonte;Sul;Residencial;03/01/2022;Móvel Pós;89.9;Cancelado;29;Feminino;3243;Vendedor_8;28/05/2023
33;Cliente_33;PE;Petrolina;Sul;Residencial;21/11/2022;Fibra 1GB;159.9;Ativo;57;Feminino;16982;Vendedor_25;
34;Cliente_34;MG;Belo Horizonte;Sudeste;Empresarial;28/08/2023;Móvel Controle;49.9;Ativo;41;Masculino;16281;Vendedor_5;
35;Cliente_35;RS;Caxias do Sul;Nordeste;Residencial;06/03/2024;TV + Fibra;199.9;Ativo;35;Feminino;14711;Vendedor_10;
36;Cliente_36;PE;Recife;Centro-Oeste;Residencial;19/06/2023;Fibra 300MB;89.9;Ativo;55;Feminino;5929;Vendedor_23;
37;Cliente_37;DF;Brasília;Nordeste;Residencial;22/08/2023;TV + Fibra;199.9;Cancelado;29;Masculino;10698;Vendedor_1;
38;Cliente_38;RS;Pelotas;Norte;Residencial;10/12/2024;Móvel Controle;49.9;Ativo;20;Masculino;9117;Vendedor_13;
39;Cliente_39;RJ;Rio de Janeiro;Sul;Empresarial;11/04/2024;Móvel Controle;49.9;Ativo;42;Masculino;11012;Vendedor_37;
40;Cliente_40;BA;Feira de Santana;Sudeste;Residencial;02/12/2024;Móvel Pós;89.9;Ativo;52;Masculino;5681;Vendedor_26;
41;Cliente_41;DF;Brasília;Norte;Empresarial;13/12/2022;Móvel Controle;49.9;Ativo;33;Masculino;11419;Vendedor_19;
42;Cliente_42;RJ;Niterói;Nordeste;Residencial;17/12/2024;Fibra 300MB;89.9;Ativo;66;Feminino;14562;Vendedor_26;
43;Cliente_43;GO;Goiânia;Sul;Residencial;28/02/2022;TV + Fibra;199.9;Ativo;65;Feminino;3670;Vendedor_48;
44;Cliente_44;DF;Brasília;Centro-Oeste;Empresarial;11/11/2023;Móvel Pós;89.9;Ativo;62;Masculino;9096;Vendedor_50;
45;Cliente_45;GO;Aparecida de Goiânia;Norte;Residencial;26/05/2023;Fibra 1GB;159.9;Ativo;74;Masculino;13703;Vendedor_42;
46;Cliente_46;PE;Olinda;Sul;Residencial;26/07/2022;Fibra 300MB;89.9;Ativo;30;Masculino;5113;Vendedor_2;
47;Cliente_47;RJ;Niterói;Nordeste;Empresarial;21/04/2022;Móvel Pós;89.9;Ativo;41;Masculino;5762;Vendedor_41;
48;Cliente_48;BA;Salvador;Nordeste;Empresarial;23/01/2022;Móvel Pós;89.9;Cancelado;29;Masculino;3182;Vendedor_19;06/03/2023
49;Cliente_49;RS;Caxias do Sul;Norte;Residencial;26/02/2024;Fibra 600MB;119.9;Ativo;19;Masculino;11481;Vendedor_12;
50;Cliente_50;PR;Londrina;Norte;Residencial;31/10/2024;Fibra 300MB;89.9;Ativo;43;Masculino;14218;Vendedor_44;
51;Cliente_51;MG;Juiz de Fora;Norte;Residencial;26/07/2023;Móvel Controle;49.9;Ativo;63;Masculino;1900;Vendedor_35;
52;Cliente_52;SP;Santos;Sudeste;Empresarial;17/01/2024;Fibra 300MB;89.9;Ativo;27;Masculino;14757;Vendedor_32;
