id_venda;id_cliente;id_produto;valor;data_venda;vendedor;estado;cidade
1;10001;1;260.73;13/06/2025;Vendedor_9;PR;Londrina
2;10002;3;266.64;27/05/2025;Vendedor_44;DF;Brasília
3;10003;3;91.32;16/05/2025;Vendedor_49;PR;Londrina
4;10004;3;86.83;31/08/2025;Vendedor_26;SP;São Paulo
5;10005;6;82.77;03/06/2025;Vendedor_27;PR;Maringá
6;10006;6;242.54;26/07/2025;Vendedor_18;DF;Brasília
7;10007;5;297.69;17/07/2025;Vendedor_24;BA;Feira de Santana
8;10008;1;251.55;16/01/2025;Vendedor_35;PR;Curitiba
9;10009;3;105.01;21/06/2025;Vendedor_24;GO;Aparecida de Goiânia
10;10010;5;243.6;24/06/2025;Vendedor_20;PE;Olinda
11;10011;2;241.27;08/07/2025;Vendedor_43;SP;Campinas
12;10012;4;262.56;27/08/2025;Vendedor_44;RS;Pelotas
13;10013;2;121.88;24/01/2025;Vendedor_16;RJ;Niterói
14;10014;1;246.51;06/01/2025;Vendedor_19;PE;Recife
15;10015;3;192.48;20/03/2025;Vendedor_9;SP;São Paulo
16;10016;3;168.36;08/03/2025;Vendedor_17;PE;Olinda
17;10017;5;122.28;24/08/2025;Vendedor_10;CE;Juazeiro do Norte
18;10018;3;280.96;04/06/2025;Vendedor_3;DF;Brasília
19;10019;3;214.05;20/04/2025;Vendedor_48;GO;Anápolis
20;10020;3;281.24;24/04/2025;Vendedor_40;MG;Belo Horizonte
21;10021;4;158.15;03/03/2025;Vendedor_18;MG;Belo Horizonte
22;10022;4;147.82;09/03/2025;Vendedor_11;SP;Campinas
23;10023;6;152.13;07/01/2025;Vendedor_42;CE;Fortaleza
24;10024;1;172.02;18/08/2025;Vendedor_27;BA;Vitória da Conquista
25;10025;1;164.34;11/04/2025;Vendedor_4;RJ;Rio de Janeiro
26;10026;6;154.64;31/03/2025;Vendedor_45;BA;Feira de Santana
27;10027;4;94.13;07/01/2025;Vendedor_50;DF;Brasília
28;10028;4;205.06;07/03/2025;Vendedor_35;MG;Belo Horizonte
29;10029;2;273.26;27/04/2025;Vendedor_2;PR;Maringá
30;10030;1;102.34;20/06/2025;Vendedor_10;PE;Olinda
31;10031;5;172.27;14/04/2025;Vendedor_45;PE;Recife
32;10032;4;215.12;25/02/2025;Vendedor_20;RS;Pelotas
33;10033;6;181.25;02/04/2025;Vendedor_31;PE;Recife
34;10034;4;198.92;09/08/2025;Vendedor_44;RS;Pelotas
35;10035;3;124.22;01/07/2025;Vendedor_37;RJ;Volta Redonda
36;10036;1;287.17;25/06/2025;Vendedor_49;SP;São Paulo
37;10037;4;149.06;11/02/2025;Vendedor_17;GO;Anápolis
38;10038;6;145.79;12/07/2025;Vendedor_27;RS;Pelotas
39;10039;1;180.71;18/01/2025;Vendedor_5;PE;Olinda
40;10040;6;97.63;19/01/2025;Vendedor_18;RS;Pelotas
41;10041;3;295.6;22/04/2025;Vendedor_20;SP;Santos
42;10042;6;186.57;22/06/2025;Vendedor_5;RS;Pelotas
43;10043;1;177.13;20/01/2025;Vendedor_38;SP;Campinas
44;10044;1;291.76;07/06/2025;Vendedor_41;MG;Belo Horizonte
45;10045;1;178.36;04/04/2025;Vendedor_19;MG;Juiz de Fora
46;10046;1;262.72;07/01/2025;Vendedor_47;MG;Belo Horizonte
47;10047;5;99.01;02/08/2025;Vendedor_9;PE;Petrolina
48;10048;6;117.28;23/01/2025;Vendedor_18;RJ;Volta Redonda
49;10049;1;193.25;15/08/2025;Vendedor_37;SP;Santos
50;10050;5;291.75;15/01/2025;Vendedor_48;CE;Sobral
51;10051;4;237.73;12/06/2025;Vendedor_3;GO;Goiânia
52;10052;4;117.89;21/07/2025;Vendedor_28;GO;Goiânia
53;10053;5;289.04;24/01/2025;Vendedor_49;BA;Feira de Santana
54;10054;4;186.97;18/08/2025;Vendedor_3;SP;Santos
55;10055;2;218.18;14/07/2025;Vendedor_13;DF;Brasília
56;10056;6;296.74;18/02/2025;Vendedor_12;RS;Porto Alegre
57;10057;3;230.78;14/02/2025;Vendedor_46;CE;Fortaleza
58;10058;3;192.75;02/05/2025;Vendedor_5;BA;Salvador
59;10059;3;265.92;16/01/2025;Vendedor_16;RS;Porto Alegre
60;10060;3;288.85;01/07/2025;Vendedor_43;RS;Caxias do Sul
61;10061;4;295.21;05/06/2025;Vendedor_19;PR;Maringá
62;10062;3;296.24;06/08/2025;Vendedor_9;DF;Brasília
63;10063;1;176.03;19/07/2025;Vendedor_27;GO;Aparecida de Goiânia
64;10064;5;245.71;14/08/2025;Vendedor_10;SP;Santos
65;10065;4;238.37;23/02/2025;Vendedor_25;MG;Belo Horizonte
66;10066;6;86.62;31/03/2025;Vendedor_45;CE;Sobral
67;10067;3;202.32;18/07/2025;Vendedor_12;PE;Olinda
68;10068;4;216.63;13/06/2025;Vendedor_9;GO;Anápolis
69;10069;3;108.04;04/07/2025;Vendedor_27;DF;Brasília
70;10070;6;285.36;29/06/2025;Vendedor_38;GO;Goiânia
71;10071;2;84.45;31/01/2025;Vendedor_26;RJ;Rio de Janeiro
72;10072;2;103.05;30/01/2025;Vendedor_33;BA;Vitória da Conquista
73;10073;4;168.08;16/06/2025;Vendedor_28;PE;Olinda
74;10074;2;298.37;07/05/2025;Vendedor_17;CE;Fortaleza
75;10075;1;86.35;25/08/2025;Vendedor_46;GO;Aparecida de Goiânia
76;10076;1;129.17;23/01/2025;Vendedor_19;MG;Uberlândia
77;10077;5;156.67;03/05/2025;Vendedor_25;RJ;Rio de Janeiro
78;10078;6;275.68;21/02/2025;Vendedor_40;PR;Curitiba
79;10079;2;263.26;24/05/2025;Vendedor_42;DF;Brasília
80;10080;4;96.37;08/05/2025;Vendedor_46;RJ;Volta Redonda
81;10081;4;216.26;06/08/2025;Vendedor_23;MG;Belo Horizonte
82;10082;2;282.67;21/01/2025;Vendedor_19;CE;Fortaleza
83;10083;5;137.44;13/01/2025;Vendedor_16;PE;Petrolina
84;10084;3;187.12;31/03/2025;Vendedor_25;PR;Curitiba
85;10085;6;187.21;14/03/2025;Vendedor_17;PE;Recife
86;10086;3;280.35;11/03/2025;Vendedor_13;DF;Brasília
87;10087;3;139.74;07/07/2025;Vendedor_9;SP;São Paulo
88;10088;5;158.59;22/01/2025;Vendedor_28;CE;Fortaleza
89;10089;2;279.41;20/01/2025;Vendedor_31;RS;Pelotas
90;10090;4;217.96;04/08/2025;Vendedor_7;RJ;Volta Redonda
91;10091;5;287.53;30/03/2025;Vendedor_7;CE;Sobral
92;10092;5;284.23;07/04/2025;Vendedor_46;SP;Campinas
93;10093;6;220.19;11/02/2025;Vendedor_36;MG;Belo Horizonte
94;10094;1;139.58;01/03/2025;Vendedor_9;RJ;Rio de Janeiro
95;10095;1;167.54;30/07/2025;Vendedor_19;RS;Caxias do Sul
96;10096;2;191.57;16/06/2025;Vendedor_12;DF;Brasília
97;10097;4;105.04;08/01/2025;Vendedor_36;MG;Uberlândia
98;10098;3;134.02;12/01/2025;Vendedor_27;MG;Uberlândia
99;10099;3;176.19;08/07/2025;Vendedor_34;DF;Brasília
100;10100;3;257.16;28/01/2025;Vendedor_26;DF;Brasília
101;10101;3;157.79;11/08/2025;Vendedor_38;PR;Curitiba
102;10102;2;125.43;20/06/2025;Vendedor_22;MG;Uberlândia
103;10103;2;267.56;24/05/2025;Vendedor_21;GO;Aparecida de Goiânia
104;10104;1;270.42;17/08/2025;Vendedor_7;CE;Juazeiro do Norte
105;10105;3;121.24;30/01/2025;Vendedor_38;BA;Vitória da Conquista
106;10106;3;170.1;24/06/2025;Vendedor_7;CE;Juazeiro do Norte
107;10107;4;116.69;23/02/2025;Vendedor_31;PR;Maringá
108;10108;3;272.45;11/03/2025;Vendedor_37;PE;Recife
109;10109;6;113.51;02/05/2025;Vendedor_44;BA;Salvador
110;10110;2;272.57;14/02/2025;Vendedor_14;GO;Aparecida de Goiânia
111;10111;1;114.57;04/07/2025;Vendedor_32;RJ;Volta Redonda
112;10112;5;96.33;25/01/2025;Vendedor_26;SP;Campinas
113;10113;6;93.14;25/02/2025;Vendedor_8;SP;Santos
114;10114;3;237.59;24/03/2025;Vendedor_14;DF;Brasília
115;10115;3;263.89;08/07/2025;Vendedor_15;DF;Brasília
116;10116;5;176.42;30/01/2025;Vendedor_17;GO;Goiânia
117;10117;6;266.29;11/02/2025;Vendedor_18;RJ;Rio de Janeiro
118;10118;6;119.18;14/06/2025;Vendedor_48;SP;São Paulo
119;10119;5;152.37;31/05/2025;Vendedor_26;CE;Juazeiro do Norte
120;10120;4;258.14;02/04/2025;Vendedor_16;PE;Olinda
121;10121;6;110.32;26/01/2025;Vendedor_38;RJ;Niterói
122;10122;2;181.44;02/01/2025;Vendedor_38;PE;Petrolina
123;10123;3;109.03;09/03/2025;Vendedor_5;RJ;Volta Redonda
124;10124;5;132.68;31/07/2025;Vendedor_37;RJ;Niterói
125;10125;1;217.77;20/08/2025;Vendedor_18;RS;Pelotas
126;10126;5;236.06;16/04/2025;Vendedor_40;PR;Londrina
127;10127;6;135.77;16/06/2025;Vendedor_32;DF;Brasília
128;10128;5;233.05;09/02/2025;Vendedor_15;PE;Olinda
129;10129;2;293.74;27/04/2025;Vendedor_26;PE;Petrolina
130;10130;3;123.0;19/08/2025;Vendedor_42;PR;Curitiba
131;10131;6;88.74;13/06/2025;Vendedor_3;SP;Santos
132;10132;5;167.1;30/05/2025;Vendedor_50;PE;Olinda
133;10133;5;199.06;12/03/2025;Vendedor_1;DF;Brasília
134;10134;3;133.37;24/01/2025;Vendedor_17;BA;Feira de Santana
135;10135;2;149.56;25/05/2025;Vendedor_10;BA;Salvador
136;10136;3;83.11;31/01/2025;Vendedor_15;DF;Brasília
137;10137;2;177.33;30/03/2025;Vendedor_38;RS;Pelotas
138;10138;4;235.48;13/06/2025;Vendedor_45;RJ;Niterói
139;10139;3;283.14;05/01/2025;Vendedor_3;RJ;Rio de Janeiro
140;10140;4;216.77;31/07/2025;Vendedor_44;PR;Maringá
141;10141;2;224.63;19/06/2025;Vendedor_17;BA;Vitória da Conquista
142;10142;5;270.11;22/03/2025;Vendedor_5;GO;Aparecida de Goiânia
143;10143;1;290.01;26/03/2025;Vendedor_49;PE;Olinda
144;10144;2;152.34;02/08/2025;Vendedor_30;SP;Campinas
145;10145;5;227.31;31/01/2025;Vendedor_45;BA;Salvador
146;10146;1;183.22;11/06/2025;Vendedor_48;CE;Fortaleza
147;10147;4;230.91;28/01/2025;Vendedor_20;RS;Pelotas
148;10148;5;190.35;16/07/2025;Vendedor_17;CE;Fortaleza
149;10149;3;86.27;22/04/2025;Vendedor_10;RJ;Niterói
150;10150;3;228.58;02/06/2025;Vendedor_5;RS;Caxias do Sul
151;10151;3;204.57;26/08/2025;Vendedor_6;BA;Feira de Santana
152;10152;5;199.18;04/03/2025;Vendedor_27;RS;Caxias do Sul
153;10153;2;283.32;06/02/2025;Vendedor_41;GO;Goiânia
154;10154;6;246.84;24/01/2025;Vendedor_23;RJ;Niterói
155;10155;4;91.61;07/07/2025;Vendedor_31;MG;Uberlândia
156;10156;5;204.3;08/01/2025;Vendedor_17;PE;Recife
157;10157;1;150.03;03/05/2025;Vendedor_47;BA;Feira de Santana
158;10158;6;136.08;07/04/2025;Vendedor_6;PE;Petrolina
159;10159;5;277.6;11/03/2025;Vendedor_38;GO;Goiânia
160;10160;5;287.53;16/02/2025;Vendedor_39;GO;Anápolis
161;10161;6;90.3;02/07/2025;Vendedor_1;BA;Salvador
162;10162;4;132.52;03/05/2025;Vendedor_44;MG;Uberlândia
163;10163;2;256.72;14/01/2025;Vendedor_37;PE;Petrolina
164;10164;2;245.65;30/04/2025;Vendedor_12;MG;Uberlândia
165;10165;2;121.61;13/08/2025;Vendedor_5;RS;Pelotas
166;10166;2;162.63;19/04/2025;Vendedor_3;PE;Petrolina
167;10167;4;218.87;14/05/2025;Vendedor_39;PE;Petrolina
168;10168;1;278.95;23/03/2025;Vendedor_3;DF;Brasília
169;10169;5;132.66;22/05/2025;Vendedor_4;PE;Recife
170;10170;3;242.24;16/02/2025;Vendedor_5;PE;Petrolina
171;10171;2;107.94;08/06/2025;Vendedor_42;SP;Santos
172;10172;4;203.97;26/05/2025;Vendedor_23;MG;Juiz de Fora
173;10173;5;230.88;01/03/2025;Vendedor_36;SP;São Paulo
174;10174;2;295.44;17/06/2025;Vendedor_40;CE;Sobral
175;10175;6;112.75;10/06/2025;Vendedor_9;RJ;Volta Redonda
176;10176;2;125.09;21/02/2025;Vendedor_44;PE;Olinda
177;10177;6;214.49;27/08/2025;Vendedor_16;DF;Brasília
178;10178;6;299.75;25/04/2025;Vendedor_31;CE;Sobral
179;10179;6;210.85;28/03/2025;Vendedor_20;RS;Porto Alegre
180;10180;5;195.37;24/01/2025;Vendedor_32;DF;Brasília
181;10181;4;255.34;14/06/2025;Vendedor_29;CE;Juazeiro do Norte
182;10182;2;229.93;30/07/2025;Vendedor_42;RS;Porto Alegre
183;10183;1;136.89;15/08/2025;Vendedor_50;MG;Uberlândia
184;10184;5;167.65;06/05/2025;Vendedor_48;BA;Vitória da Conquista
185;10185;5;230.55;21/08/2025;Vendedor_10;MG;Juiz de Fora
186;10186;4;253.84;28/08/2025;Vendedor_49;CE;Sobral
187;10187;4;271.24;29/03/2025;Vendedor_37;PE;Petrolina
188;10188;6;176.32;20/01/2025;Vendedor_26;SP;São Paulo
189;10189;2;176.99;09/06/2025;Vendedor_6;GO;Aparecida de Goiânia
